                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3719,                 5.1074,                 2.2936,                0.01032,                 0.0449,                0.00803,                0.00311,                 2.0989,                 5.1513,                 2.3944,                 0.0874,                 0.0014,                 0.0014
                      1,                 1.9282,                 3.5607,                 1.9603,                0.07183,                0.15517,                0.08013,                0.03332,                 1.7201,                 3.4664,                 1.8678,               0.073871,              0.0028713,              0.0028713
                      2,                 1.5573,                 2.7894,                 1.6453,                 0.1584,                0.32627,                 0.1852,                0.10194,                 1.3128,                 2.5296,                 1.4459,               0.060313,              0.0043129,              0.0043129
                      3,                  1.289,                 2.3459,                 1.4295,                0.21513,                0.41111,                0.22415,                0.13398,                 1.4012,                 2.3881,                 1.4954,               0.046725,              0.0057248,              0.0057248
                      4,                 1.1913,                 2.1329,                 1.3405,                0.15759,                0.43015,                0.18319,                0.10621,                 1.3292,                 2.7288,                 1.4029,               0.033107,               0.007107,               0.007107
                      5,                 1.1777,                 1.9778,                 1.3109,                0.16836,                0.52619,                0.20283,                0.12695,                  1.343,                 3.3135,                 1.4206,               0.019459,              0.0084594,              0.0084594
                      6,                 1.1313,                 1.9338,                 1.2862,                0.17474,                0.54772,                0.25373,                0.15788,                 1.2217,                 2.9538,                 1.3334,               0.009406,               0.009406,               0.009406
                      7,                 1.1534,                 1.7754,                 1.2692,                 0.3655,                0.44334,                0.33222,                 0.2216,                 1.1187,                 2.3579,                 1.2718,               0.009406,               0.009406,               0.009406
                      8,                 1.1524,                  1.632,                 1.2674,                0.26597,                0.41897,                0.28867,                 0.1806,                 1.2264,                 2.7293,                 1.3476,               0.009307,               0.009307,               0.009307
                      9,                  1.116,                 1.5382,                 1.2538,                0.23223,                0.56776,                0.32554,                0.20609,                 1.2214,                 2.3436,                 1.3331,               0.009208,               0.009208,               0.009208
                     10,                 1.0789,                 1.5426,                 1.2277,                0.35551,                0.49917,                0.41118,                0.26254,                 1.1459,                 1.8722,                 1.3228,               0.009109,               0.009109,               0.009109
                     11,                  1.092,                 1.4577,                 1.2367,                0.40144,                0.47033,                 0.4389,                0.29394,                 1.0664,                 1.6973,                 1.2349,                0.00901,                0.00901,                0.00901
                     12,                 1.0614,                 1.4085,                 1.2217,                0.47834,                0.55716,                0.52952,                0.36961,                  1.001,                 1.5826,                 1.1906,               0.008911,               0.008911,               0.008911
                     13,                 1.0695,                 1.4094,                 1.2243,                0.51243,                0.56977,                   0.58,                 0.3912,                 1.0357,                 1.4376,                 1.2462,               0.008812,               0.008812,               0.008812
                     14,                 1.0536,                 1.3949,                 1.2258,                0.47967,                0.65483,                0.57884,                0.41396,                 0.9636,                 1.4074,                  1.203,               0.008713,               0.008713,               0.008713
                     15,                 1.0551,                 1.3607,                 1.2126,                0.57328,                0.58563,                0.60953,                0.44775,                0.91503,                 1.4182,                 1.1546,               0.008614,               0.008614,               0.008614
                     16,                 1.0774,                 1.3214,                   1.23,                0.52673,                0.56043,                0.56979,                0.40048,                0.96437,                 1.5156,                 1.1756,               0.008515,               0.008515,               0.008515
                     17,                 1.0518,                 1.3005,                 1.2135,                0.48622,                  0.734,                0.62842,                0.45705,                 0.9633,                 1.3672,                 1.1678,               0.008416,               0.008416,               0.008416
                     18,                 1.0352,                 1.2495,                 1.1917,                0.34852,                0.54806,                0.37546,                0.24047,                 1.2042,                 2.0109,                 1.3443,               0.008317,               0.008317,               0.008317
                     19,                 1.0333,                 1.2535,                 1.2002,                0.51932,                0.64577,                0.61703,                0.44899,                0.97551,                 1.3628,                 1.1838,               0.008218,               0.008218,               0.008218
                     20,                 1.0059,                 1.2368,                 1.2008,                0.54602,                 0.5698,                0.59876,                0.42063,                0.97212,                 1.3828,                 1.1839,               0.008119,               0.008119,               0.008119
                     21,                 1.0404,                  1.257,                 1.2147,                 0.5956,                 0.6333,                0.62892,                0.45762,                0.98178,                 1.3172,                 1.1879,                0.00802,                0.00802,                0.00802
                     22,                 1.0089,                 1.1947,                 1.1929,                0.53622,                0.71904,                0.65244,                0.47427,                0.98197,                 1.3476,                 1.2003,               0.007921,               0.007921,               0.007921
                     23,                 1.0004,                 1.1973,                 1.2057,                0.61855,                0.62775,                0.65144,                0.47713,                0.99468,                 1.2713,                  1.185,               0.007822,               0.007822,               0.007822
                     24,                0.99182,                 1.1268,                 1.1668,                0.59351,                0.59586,                0.60242,                0.43058,                0.98544,                 1.4661,                 1.1744,               0.007723,               0.007723,               0.007723
                     25,                 1.0108,                 1.1196,                 1.1915,                0.70721,                0.60797,                0.67496,                0.49216,                0.95924,                 1.2366,                 1.1735,               0.007624,               0.007624,               0.007624
                     26,                0.98199,                 1.1011,                 1.1795,                0.65462,                0.66446,                0.68388,                0.50493,                0.96837,                 1.1885,                 1.1928,               0.007525,               0.007525,               0.007525
                     27,                0.97184,                 1.0806,                 1.1568,                0.59872,                0.72991,                0.69698,                0.51133,                0.93547,                 1.1891,                 1.1687,               0.007426,               0.007426,               0.007426
                     28,                0.97509,                 1.0544,                 1.1583,                0.65759,                0.66006,                0.68221,                0.49435,                0.96675,                 1.2684,                 1.1762,               0.007327,               0.007327,               0.007327
                     29,                 1.0007,                 1.0839,                 1.1793,                 0.6418,                0.70247,                0.70648,                0.51043,                0.96465,                 1.1824,                 1.1616,               0.007228,               0.007228,               0.007228
                     30,                0.95803,                0.99805,                 1.1491,                0.62991,                 0.6801,                0.70166,                 0.5313,                 0.9187,                 1.1321,                 1.1346,               0.007129,               0.007129,               0.007129
                     31,                0.95265,                0.99665,                 1.1542,                0.63075,                 0.6364,                0.65142,                0.47595,                0.97304,                  1.263,                  1.194,                0.00703,                0.00703,                0.00703
                     32,                0.94523,                0.98832,                  1.145,                0.65923,                0.66527,                0.69249,                0.51581,                0.93322,                  1.218,                 1.1331,               0.006931,               0.006931,               0.006931
                     33,                0.92679,                0.96201,                 1.1281,                0.76238,                0.64754,                0.73347,                0.54281,                0.91893,                 1.0911,                 1.1355,               0.006832,               0.006832,               0.006832
